罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,オートバイ盗,千葉中央,本町交番,121011,千葉県,千葉市中央区,要町,2018-01-12,07,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,千葉中央,蘇我駅前交番,121011,千葉県,千葉市中央区,南町２丁目,2018-06-08,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,千葉中央,蘇我駅前交番,121011,千葉県,千葉市中央区,南町２丁目,2018-07-09,08,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,千葉中央,浜野駅前交番,121011,千葉県,千葉市中央区,浜野町,2017-12-30,13,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,習志野,秋津交番,122165,千葉県,習志野市,秋津２丁目,2015-12-05,12,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,京成大久保駅前交番,122165,千葉県,習志野市,泉町３丁目,2018-07-07,12,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,京成大久保駅前交番,122165,千葉県,習志野市,大久保２丁目,2018-10-17,18,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,京成大久保駅前交番,122165,千葉県,習志野市,藤崎３丁目,2018-05-10,09,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,京成大久保駅前交番,122165,千葉県,習志野市,本大久保５丁目,2018-08-04,14,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,袖ヶ浦交番,122165,千葉県,習志野市,袖ケ浦２丁目,2018-10-04,21,４階建て以上共同住宅,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼１丁目,2018-02-24,13,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼１丁目,2018-04-07,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼１丁目,2018-04-22,07,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼１丁目,2018-04-23,19,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼１丁目,2018-07-26,07,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼１丁目,2018-09-01,15,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼１丁目,2018-09-20,07,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼１丁目,2018-11-07,12,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼１丁目,2018-12-01,17,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼２丁目,2014-06-15,08,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,習志野,津田沼駅前交番,122165,千葉県,習志野市,津田沼２丁目,2018-08-30,11,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,習志野,実籾交番,122165,千葉県,習志野市,東習志野４丁目,2018-08-25,09,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,谷津交番,122165,千葉県,習志野市,谷津３丁目,不明,不明,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,習志野,谷津交番,122165,千葉県,習志野市,谷津３丁目,2018-03-10,06,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,船橋,行田交番,122041,千葉県,船橋市,上山町１丁目,2018-07-31,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,船橋,新船橋駅前交番,122041,千葉県,船橋市,夏見３丁目,2018-03-27,18,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,船橋,中山駅前交番,122041,千葉県,船橋市,本中山７丁目,2018-09-05,18,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,船橋,西船橋駅前交番,122041,千葉県,船橋市,印内町,2018-06-02,12,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,船橋,浜町交番,122041,千葉県,船橋市,浜町２丁目,2018-03-20,18,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,船橋,浜町交番,122041,千葉県,船橋市,浜町２丁目,2018-05-03,18,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,船橋,浜町交番,122041,千葉県,船橋市,浜町２丁目,2018-09-10,18,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,船橋,浜町交番,122041,千葉県,船橋市,浜町２丁目,2018-10-18,08,その他,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,船橋,浜町交番,122041,千葉県,船橋市,浜町２丁目,2018-11-19,13,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,船橋,船橋駅前交番,122041,千葉県,船橋市,本町３丁目,2018-09-14,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,船橋,船橋駅前交番,122041,千葉県,船橋市,本町４丁目,2018-01-10,11,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,船橋,船橋駅前交番,122041,千葉県,船橋市,本町４丁目,2018-08-14,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,船橋,法典交番,122041,千葉県,船橋市,丸山５丁目,2018-02-02,22,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,船橋,法典交番,122041,千葉県,船橋市,藤原８丁目,2018-06-21,11,駐車（輪）場,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,船橋,緑台交番,122041,千葉県,船橋市,新高根６丁目,2018-05-21,19,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,市川,市川駅前交番,122033,千葉県,市川市,新田２丁目,2018-02-07,13,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,市川,市川駅前交番,122033,千葉県,市川市,新田４丁目,2018-07-15,09,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,市川,大野駅前交番,122033,千葉県,市川市,大野町４丁目,2018-04-02,18,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,市川,大野駅前交番,122033,千葉県,市川市,大町,2018-12-28,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,市川,国府台交番,122033,千葉県,市川市,市川４丁目,2018-03-29,18,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,市川,国府台交番,122033,千葉県,市川市,国府台１丁目,2018-11-27,13,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,市川,菅野交番,122033,千葉県,市川市,宮久保３丁目,2018-12-26,11,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,市川,菅野交番,122033,千葉県,市川市,宮久保４丁目,2018-10-07,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,市川,原木交番,122033,千葉県,市川市,高谷１丁目,2018-05-03,16,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,市川,原木交番,122033,千葉県,市川市,原木１丁目,2018-10-14,17,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,市川,南八幡交番,122033,千葉県,市川市,鬼高３丁目,2018-08-11,11,その他,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,市川,柏井交番,122033,千葉県,市川市,宮久保５丁目,2018-08-29,03,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,浦安,新浦安駅前交番,122271,千葉県,浦安市,入船１丁目,2018-11-15,21,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,浦安,富士見交番,122271,千葉県,浦安市,堀江５丁目,2018-08-24,19,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松戸,北松戸交番,122076,千葉県,松戸市,中和倉,2018-09-16,12,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松戸,北松戸交番,122076,千葉県,松戸市,南花島１丁目,2018-06-21,17,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,松戸,新松戸交番,122076,千葉県,松戸市,新松戸１丁目,2017-12-20,12,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松戸,新松戸交番,122076,千葉県,松戸市,新松戸１丁目,2018-03-24,14,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,松戸,新松戸交番,122076,千葉県,松戸市,新松戸３丁目,2018-03-31,20,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松戸,二十世紀が丘交番,122076,千葉県,松戸市,二十世紀が丘萩町,2018-03-21,20,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,松戸,二十世紀が丘交番,122076,千葉県,松戸市,二十世紀が丘萩町,2018-03-21,20,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,松戸,二十世紀が丘交番,122076,千葉県,松戸市,二十世紀が丘萩町,2018-03-23,17,その他,キーあり,なし,なし
窃盗,オートバイ盗,松戸,二十世紀が丘交番,122076,千葉県,松戸市,松戸,2018-04-20,10,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,松戸,松戸駅前交番,122076,千葉県,松戸市,古ケ崎,2018-03-30,22,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松戸,松戸駅前交番,122076,千葉県,松戸市,樋野口,2018-03-30,09,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,松戸,馬橋西交番,122076,千葉県,松戸市,西馬橋１丁目,2018-02-25,15,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松戸,矢切交番,122076,千葉県,松戸市,上矢切,2018-07-04,16,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松戸,矢切交番,122076,千葉県,松戸市,下矢切,2018-07-04,03,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,松戸,八柱交番,122076,千葉県,松戸市,千駄堀,2018-01-10,05,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,松戸,八柱交番,122076,千葉県,松戸市,牧の原２丁目,2018-08-21,22,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松戸,八柱交番,122076,千葉県,松戸市,松戸,2018-02-26,01,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,松戸,小根本交番,122076,千葉県,松戸市,岩瀬,2018-05-21,14,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,松戸,栄町交番,122076,千葉県,松戸市,古ケ崎３丁目,2018-03-15,00,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,野田,川間駅前交番,122084,千葉県,野田市,岩名２丁目,2017-09-01,08,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,野田,南部交番,122084,千葉県,野田市,山崎,2018-11-01,18,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,野田,野田市駅前交番,122084,千葉県,野田市,堤台,2018-12-03,18,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,野田,野田市駅前交番,122084,千葉県,野田市,中根,2018-06-21,11,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,野田,野田市駅前交番,122084,千葉県,野田市,中根,2018-08-01,00,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,野田,野田市駅前交番,122084,千葉県,野田市,中根,2018-12-26,19,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,野田,野田市駅前交番,122084,千葉県,野田市,野田,2018-07-30,11,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,野田,野田市駅前交番,122084,千葉県,野田市,野田,2018-12-19,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,柏,旭町交番,122173,千葉県,柏市,あけぼの３丁目,2017-01-01,00,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,柏,旭町交番,122173,千葉県,柏市,旭町５丁目,2018-09-18,15,道路上,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,柏,大津ヶ丘交番,122173,千葉県,柏市,大津ケ丘２丁目,2018-01-15,17,４階建て以上共同住宅,キーあり,なし,なし
窃盗,オートバイ盗,柏,大津ヶ丘交番,122173,千葉県,柏市,大津ケ丘４丁目,2018-05-11,06,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,柏,大津ヶ丘交番,122173,千葉県,柏市,大津ケ丘４丁目,2018-10-29,08,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,柏,柏駅前交番,122173,千葉県,柏市,泉町,2018-05-26,06,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,柏,柏駅前交番,122173,千葉県,柏市,柏,2018-10-11,20,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,柏,柏駅前交番,122173,千葉県,柏市,柏４丁目,2018-03-19,18,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,柏,柏駅前交番,122173,千葉県,柏市,中央１丁目,2018-10-03,13,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,柏,柏駅前交番,122173,千葉県,柏市,中央町,2018-07-05,17,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,柏,北柏駅前交番,122173,千葉県,柏市,根戸,2018-10-08,22,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,柏,豊四季駅前交番,122173,千葉県,柏市,豊四季,2018-05-14,06,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,柏,増尾駅前交番,122173,千葉県,柏市,増尾台４丁目,2018-10-18,21,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,柏,松葉町交番,122173,千葉県,柏市,篠籠田,2018-05-21,07,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,柏,緑ヶ丘交番,122173,千葉県,柏市,東柏２丁目,2018-04-12,18,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,柏,南柏駅前交番,122173,千葉県,柏市,豊四季,2015-10-01,18,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,柏,南増尾交番,122173,千葉県,柏市,南増尾,2018-04-19,16,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,柏,南増尾交番,122173,千葉県,柏市,南逆井４丁目,2018-01-20,21,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,柏,柏の葉キャンパス交番,122173,千葉県,柏市,柏の葉３丁目,2018-10-01,16,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,柏,藤ヶ谷駐在所,122173,千葉県,柏市,藤ケ谷,2018-01-28,22,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,佐倉,八街幹部交番,122301,千葉県,八街市,八街に,2018-07-29,10,その他,キーあり,あり,原動機付自転車（50cc以下）
窃盗,オートバイ盗,佐倉,臼井交番,122122,千葉県,佐倉市,南臼井台,2018-10-23,21,その他の住宅（３階建て以下共同住宅等）,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,佐倉,京成佐倉駅前交番,122122,千葉県,佐倉市,宮ノ台１丁目,2018-09-10,19,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,佐倉,佐倉駅前交番,122122,千葉県,佐倉市,鏑木町,2018-10-13,19,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,佐倉,佐倉駅前交番,122122,千葉県,佐倉市,城,2018-11-24,09,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,佐倉,佐倉駅前交番,122122,千葉県,佐倉市,大崎台１丁目,2018-10-25,18,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,佐倉,佐倉駅前交番,122122,千葉県,佐倉市,山王１丁目,2018-08-23,22,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,佐倉,酒々井交番,123226,千葉県,酒々井町,飯積１丁目,2018-12-06,09,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,佐倉,酒々井交番,123226,千葉県,酒々井町,酒々井,2018-09-28,08,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,佐倉,酒々井交番,123226,千葉県,酒々井町,中川,2018-10-03,13,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,佐倉,京成志津駅前交番,122122,千葉県,佐倉市,井野,2018-09-01,23,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,佐倉,榎戸交番,122301,千葉県,八街市,榎戸,2018-05-18,09,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,佐倉,榎戸交番,122301,千葉県,八街市,八街は,2018-05-03,11,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,佐倉,吉倉交番,122301,千葉県,八街市,八街ほ,2018-12-06,08,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,佐倉,八街駅前交番,122301,千葉県,八街市,八街ほ,2018-10-02,05,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,佐倉,八街駅前交番,122301,千葉県,八街市,八街ほ,2018-10-27,13,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,佐倉,八街駅前交番,122301,千葉県,八街市,八街ほ,2018-12-02,09,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,佐倉,八街駅前交番,122301,千葉県,八街市,八街ほ,2018-12-25,13,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,成田,七栄交番,122335,千葉県,富里市,七栄,2018-05-25,01,一戸建住宅,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,成田,七栄交番,122335,千葉県,富里市,七栄,2018-07-20,07,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,成田,成田駅前交番,122114,千葉県,成田市,花崎町,2017-05-20,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,成田,公津の杜交番,122114,千葉県,成田市,公津の杜５丁目,2018-04-06,21,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,成田,多良貝駐在所,122114,千葉県,成田市,新田,2018-03-08,08,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,印西,白井交番,122327,千葉県,白井市,根,2018-07-17,20,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,印西,小林交番,122319,千葉県,印西市,小林,2018-03-28,07,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,印西,牧の原前交番,122319,千葉県,印西市,牧の原２丁目,2018-07-17,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,印西,冨士駐在所,122327,千葉県,白井市,冨士,2018-05-29,21,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,香取,佐原駅前交番,122360,千葉県,香取市,佐原イ,2018-08-04,23,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,香取,神里駐在所,122360,千葉県,香取市,油田,2018-08-30,12,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,旭,署所在地,122157,千葉県,旭市,ニ,2018-07-18,23,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,旭,署所在地,122157,千葉県,旭市,ハ,2018-08-04,19,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,旭,署所在地,122157,千葉県,旭市,ロ,2018-10-10,21,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,旭,富浦駐在所,122157,千葉県,旭市,中谷里,2018-06-19,12,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,東金,大網駅前交番,122394,千葉県,大網白里市,みずほ台３丁目,2018-02-22,20,一戸建住宅,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,東金,東金駅前交番,122131,千葉県,東金市,田間２丁目,2018-02-01,16,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,茂原,一宮幹部交番,124214,千葉県,一宮町,一宮,2018-07-14,18,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,茂原,八積駐在所,124231,千葉県,長生村,岩沼,2018-03-27,07,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,いすみ,東海駐在所,122386,千葉県,いすみ市,日在,2018-01-26,10,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,勝浦,勝浦駅前交番,122181,千葉県,勝浦市,新官,2018-11-14,12,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,勝浦,松野駐在所,122181,千葉県,勝浦市,関谷,2017-12-22,14,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,市原,南総幹部交番,122190,千葉県,市原市,牛久,2018-01-06,15,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,市原,南総幹部交番,122190,千葉県,市原市,牛久,2018-02-03,06,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,市原,辰巳台交番,122190,千葉県,市原市,辰巳台西２丁目,2018-09-19,22,一戸建住宅,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,市原,有秋交番,122190,千葉県,市原市,深城,2018-12-16,07,道路上,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,市原,有秋交番,122190,千葉県,市原市,椎の木台１丁目,2018-03-01,16,一戸建住宅,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,市原,光風台交番,122190,千葉県,市原市,馬立,2018-07-08,14,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,市原,白金交番,122190,千葉県,市原市,白金町５丁目,2018-08-06,15,その他,キーあり,なし,自動二輪（50cc超）
窃盗,オートバイ盗,市原,白金交番,122190,千葉県,市原市,五井金杉１丁目,2017-12-20,00,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,市原,五井西交番,122190,千葉県,市原市,玉前,2018-12-03,16,その他の住宅（３階建て以下共同住宅等）,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,市原,五井西交番,122190,千葉県,市原市,五井中央東２丁目,2018-06-30,14,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,市原,潤井戸駐在所,122190,千葉県,市原市,うるいど南４丁目,2018-05-22,12,その他,キーあり,なし,原動機付自転車（50cc以下）
窃盗,オートバイ盗,市原,東国吉駐在所,122190,千葉県,市原市,瀬又,2018-02-17,20,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,木更津,小浜交番,122068,千葉県,木更津市,畑沢南５丁目,2018-09-03,22,一戸建住宅,キーあり,あり,自動二輪（50cc超）
窃盗,オートバイ盗,木更津,木更津駅前交番,122068,千葉県,木更津市,富士見１丁目,2018-07-06,17,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
